ad_id	site_id	frequency	total_users
adarajivox	adaramedia	8	14
carselfies	clearstream	8	2
edmunds_custom_1x1	edmunds	8	28
48700986	18556	8	2
91183567	N4620.WebMD	8	1
descknikond7500video1x1	desck	8	1
native1	brightrollexchange	8	3
creative	desckmobile	8	1
video	resonateinsights	8	2
93812280	N568001.2721420POPSUGAR_PG	8	1
probabilistic_fox_300x250	dcbm	8	2
vsr_new_moms	xaxis	8	1
richmedia	drawbridgemobile	8	1
300x250	mashable	8	1
93508110	N4682.284566THETRADEDESK	8	3
creative	GloboMobile	8	1
1024x100_october_amnettarget_contextual_baseb	amnetgroup	8	1
2014502	7704	8	1
300x250	sojern	8	4
138212222898	meredith	8	1
spadisplay	quantcast	8	1
46730573	18556	8	1
2010227	7704	8	1
logo	realtor	8	246
creative	babycentermobile	8	1
zillow_custom_1x1	zillow	8	67
300x100_ign_rosfeaturedunit_x1x	ign	8	5
maxi_970x150	globoesporte	8	1
48269816	62406	8	1
728x90	specificmedia1	8	10
48035328	18556	8	1
300x250	aap	8	6
sale_text_logo_link	realtor	8	3
160x600_v2	rocketfuel	8	1
970x250	appnexus	8	8
138212657902	meredith	8	1
homepage1x1nonsurveyable	amazonproper	8	18
test2-reach-video	aap	8	2
unbrandedrecipes	allrecipes	8	2
300x250splashbox	fusionmediagroup	8	2
-	entrepreneur	8	1
42172234	95546	8	1
92651782	N30602.150834TURN2	8	1
138212735912	meredith	8	1
waiverwirespon	cbssports	8	18
246005	1994-innovid	8	1
kidsactivities	evite	8	25
82112077	N46002.274181WEATHER.COM	8	1
native3	brightrollexchange	8	19
displaysequential	clearstream	8	7
300x250richmediacrucial	crucialinteractive	8	2
-	yume	8	2
-	tapad	8	1
2014831	7704	8	1
